vend_lon,vend_lat
-118.2008551,34.1056412
-118.1669736,34.0224417
-117.9730288,34.0677564
-118.1890278,34.11911
-118.3240834,33.9164479
-118.2914872,33.9891116
-118.2722273,34.0040015
-118.442596,34.0412085
-118.2739914,34.0020131
-118.2675473,34.0266478
-118.1807516,34.0772326
-118.2763288,34.0527539
-118.1814062,34.0283252
-118.440012,34.201226
-118.4379072,34.0402132
-118.1801817,34.0325442
-118.4911912,34.0194543
-118.2739687,33.9942239
-118.2922461,33.7360619
-118.5360517,34.2011141
-118.2533364,34.0337103
-118.2695457,33.9689184
-118.2540296,34.0383185
-118.4243333,34.2856134
-118.2782358,34.0036461
-118.2436596,34.0522265
-118.2795817,34.1638626
-118.2436596,34.0522265
-118.4993982,34.2197381
-118.4924102,34.2212905
-118.4911912,34.0194543
-118.5360517,34.2011141
-118.3286614,34.0928092
-118.4694832,33.9850469
-118.3286614,34.0928092
-118.274837,34.0591954
-118.5220998,34.2358245
-118.2695439,33.9684857
-118.2758702,34.0579838
-118.2533364,34.0337103
-118.2915742,34.0726945
-118.322578,34.1192443
-118.2724559,34.0584604
-118.530123,34.2381251
-118.2739814,33.9983329
-118.530123,34.2381251
-118.4535698,34.2280985
-118.2436596,34.0522265
-118.3286614,34.0928092
-118.4243333,34.2856134
-118.285911,34.0150286
-118.3853088,34.0812288
-118.2436596,34.0522265
-118.285911,34.0150286
-118.2534873,34.0331879
-118.3385396,34.0834668
-117.9002918,33.916475
-118.317711,34.0188775
-118.4535698,34.2280985
-118.250223,34.0339683
-118.2745439,33.9932164
-118.4243333,34.2856134
-118.3092284,34.0466443
-118.2436596,34.0522265
-118.5009624,34.2081562
-118.5010942,34.2010832
-118.2522071,34.0352439
-118.1514588,33.9652918
-118.1514588,33.9652918
-118.283428,34.0139779
-118.2605574,34.0781593
-118.1669736,34.0224417
-118.283428,34.0139779
-118.273985,33.9992438
-118.2117257,34.0297895
-118.2563587,34.0356499
-118.2832823,34.0593754
-118.2547329,34.038397
-118.2739879,34.0000822
-118.2556127,34.0361
-118.250223,34.0339683
-118.2593728,34.0375939
-118.250223,34.0339683
-118.250223,34.0339683
-118.2549866,34.0388915
-118.2551566,34.037139
-118.2551566,34.037139
-118.2763288,34.0527539
-118.3286614,34.0928092
-118.2522071,34.0352439
-118.2763288,34.0527539
-118.2540267,34.0327798
-118.257695,34.0358612
-118.2763288,34.0527539
-118.3007534,34.0635745
-118.250223,34.0339683
-118.2611485,34.0297908
-118.250223,34.0339683
-118.2522071,34.0352439
-118.2522071,34.0352439
-118.1314089,33.9904448
-118.2577976,34.0346434
-118.2918911,33.9703262
-118.250223,34.0339683
-118.2522071,34.0352439
-118.2582838,34.0351458
-118.4104684,34.2767691
-118.4393086,34.2353472
-118.2860636,34.0559269
-118.2914967,33.9891267
-118.2546919,34.03855
-118.2607376,33.7897228
-118.2832823,34.0593754
-118.2739914,34.0020131
-118.3577417,34.0574796
-118.2916493,34.0577625
-118.254227,34.032619
-118.250223,34.0339683
-118.2200712,33.8958492
-118.250223,34.0339683
-118.2914872,33.9891116
-118.2062559,34.0446166
-118.2436596,34.0522265
-118.317711,34.0188775
-118.2937583,34.000628
-118.2695439,33.9684857
-118.2742458,34.0093931
-118.2315153,34.0514589
-118.2117257,34.0502898
-118.2724559,34.0584604
-118.2540762,33.9481764
-118.287155,34.083729
-118.2916823,34.069064
-118.2611485,34.0297908
-118.2540762,33.9481764
-118.3254756,33.3424695
-118.317581,34.0397
-118.4694832,33.9850469
-118.419846,34.246792
-118.2739904,34.0010632
-118.2768345,34.0564666
-118.4911912,34.0194543
-118.3092284,34.0466443
-118.5220998,34.2358245
-118.4698256,34.2319265
-118.5249674,34.2286469
-118.2739904,34.0010632
-118.3286614,34.0928092
-118.2694571,34.06845
-118.2441601,34.032051
-118.2739904,34.0010632
-118.442425,34.227617
-118.2607376,33.7897228
-118.2698934,34.057322
-118.4243333,34.2856134
-118.4243333,34.2856134
-118.2551566,34.037139
-118.4198222,34.2889276
-118.254263,34.032939
-118.2722736,34.0585036
-118.2768345,34.0564666
-118.2436596,34.0522265
-118.2784999,33.9929683
-118.2916018,33.9600187
-118.4243333,34.2856134
-118.2916493,34.0577625
-118.2436596,34.0522265
-118.4954899,34.0214201
-118.2756623,34.0559282
-118.032844,33.9791793
-118.3286614,34.0928092
-118.3286614,34.0928092
-118.2794275,34.0584285
-118.5010052,34.219666
-118.2759085,34.0579283
-118.2203868,34.0818735
-118.2763288,34.0527539
-118.3286614,34.0928092
-118.2441601,34.032051
-118.3002039,34.0037041
-118.274475,34.049492
-117.9495083,34.0200114
-118.2484206,34.0989045
-118.2565086,34.0057592
-118.2672541,34.0430175
-118.2758702,34.0579838
-118.3972585,34.2710397
-118.3403506,34.0489277
-118.2794275,34.0584285
-118.2012558,34.0279001
-118.2517828,34.0487969
-118.2739904,34.0010632
-118.2771361,34.0560058
-118.257695,34.0358612
-118.2475806,34.0460602
-118.2517828,34.0487969
-118.2741448,34.0493041
-118.24382,34.032257
-118.2937583,34.000628
-117.7499909,34.055103
-118.2965579,34.0577297
-118.2935891,34.091341
-118.3286614,34.0928092
-118.256461,33.9893351
-118.4596221,34.0507668
-118.2672541,34.0430175
-118.2532105,33.9837391
-118.1669736,34.0224417
-118.1949851,34.0372579
-118.257003,33.974865
-118.1980407,33.7789572
-118.2672541,34.0430175
-118.2441601,34.032051
-118.2540639,33.9494786
-118.2782145,33.9542695
-118.2436596,34.0522265
-118.2672541,34.0430175
-118.2441601,34.032051
-118.2914967,33.9891267
-118.2450682,34.0460084
-118.2437176,34.0521691
-118.2117257,34.0297895
-117.7499909,34.055103
-118.2374174,34.0560036
-118.3884078,33.8491816
-118.2250725,33.9816812
-118.256588,33.9889882
-118.2441601,34.032051
-118.1669736,34.0224417
-118.4243333,34.2856134
-118.3091514,34.0835016
-118.2583219,34.0368932
-118.2678261,34.0655397
-118.2678261,34.0655397
-118.377701,34.035103
-118.2809915,34.0423802
-118.3703439,34.0728596
-118.2517828,34.0487969
-118.442425,34.227617
-72.5778415,44.5588028
-88.7878678,43.7844397
-118.2672541,34.0430175
-118.4677344,34.2355399
-118.2694571,34.06845
-118.2908909,34.0924282
-118.2771361,34.0560058
-118.2565086,34.0057592
-118.2517828,34.0487969
-118.2117257,34.0297895
-118.2701313,34.0668253
-118.278091,34.054893
-118.2701313,34.0668253
-118.257695,34.0358612
-118.2117257,34.0297895
-118.2522071,34.0352439
-118.3286614,34.0928092
-118.25487,34.03705
-118.2695692,33.9761708
-118.2436596,34.0522265
-118.442596,34.0412085
-118.274117,34.000305
-73.8877819,40.8374083
-118.1669736,34.0224417
-118.5804719,34.1779798
-118.2517828,34.0487969
-118.2669481,34.0210864
